"","status","copyright","response.docs.abstract","response.docs.web_url","response.docs.snippet","response.docs.lead_paragraph","response.docs.source","response.docs.pub_date","response.docs.document_type","response.docs.news_desk","response.docs.section_name","response.docs.subsection_name","response.docs.type_of_material","response.docs._id","response.docs.word_count","response.docs.uri","response.docs.print_section","response.docs.print_page","response.docs.headline.main","response.docs.headline.kicker","response.docs.headline.content_kicker","response.docs.headline.print_headline","response.docs.headline.name","response.docs.headline.seo","response.docs.headline.sub","response.docs.byline.original","response.docs.byline.organization","response.meta.hits","response.meta.offset","response.meta.time"
"1","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","A new program in Hawaii will provide stipends of up to $70 a day to people caring for an elderly family member at home.","https://www.nytimes.com/2017/12/15/well/family/easing-the-burden-on-caregivers.html","A new program in Hawaii will provide stipends of up to $70 a day to people caring for an elderly family member at home.","Eleanor Thommes and her sister have reorganized their schedules and finances to take care of their 93-year-old mother, Elising Roxas, who needs round-the-clock care.","The New York Times","2017-12-15T10:00:06+0000","article","Well","Well","Family","News","nyt://article/11a0bf17-2265-5c3d-8a20-28031723bb72",585,"nyt://article/11a0bf17-2265-5c3d-8a20-28031723bb72",NA,NA,"Easing the Burden on Caregivers",NA,NA,NA,NA,NA,NA,"By Maureen Towey",NA,266,0,29
"2","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Caring for someone with a health issue is never easy, but this guide can help you ease the burden by getting organized, marshaling local resources and finding support.","https://www.nytimes.com/interactive/2020/well/family/well-caregiver-guide.html","Caring for someone with a health issue is never easy, but this guide can help you ease the burden by getting organized, marshaling local resources and finding support.","Caring for someone with a health issue is never easy, but this guide can help you ease the burden by getting organized, marshaling local resources and finding support.","The New York Times","2020-12-01T12:00:01+0000","multimedia","Well","Well","Family","Interactive Feature","nyt://interactive/e75df42f-7c86-56b1-85bd-b5cf3a8b6160",0,"nyt://interactive/e75df42f-7c86-56b1-85bd-b5cf3a8b6160",NA,NA,"How to Be a Caregiver",NA,NA,NA,NA,NA,NA,"By Tara Parker-Pope",NA,266,0,29
"3","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","It’s another rising reality for an aging population: people over age 75 providing care for partners, siblings, friends and even parents.","https://www.nytimes.com/2015/07/07/health/more-caregivers-are-no-spring-chickens-themselves.html","It’s another rising reality for an aging population: people over age 75 providing care for partners, siblings, friends and even parents.","Gail Schwartz wants to keep her 85-year-old husband out of a nursing home as long as she can, but it isn’t easy.","The New York Times","2015-07-03T10:00:21+0000","article","Science","Health",NA,"News","nyt://article/459124ec-973d-5ad8-8b6c-6fddad6e00ad",1122,"nyt://article/459124ec-973d-5ad8-8b6c-6fddad6e00ad","D","3","More Caregivers Are No Spring Chickens Themselves"," The New Old Age",NA,"Caregivers Who Are No Spring Chickens",NA,NA,NA,"By Paula Span",NA,266,0,29
"4","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Family caregivers contribute billions’ worth of free labor to the economy each year. They need relief.","https://www.nytimes.com/2021/08/12/opinion/caretakers-elderly-home-health-aides.html","Family caregivers contribute billions’ worth of free labor to the economy each year. They need relief.","When you are old and gray and full of sleep and nodding by the fire — whom do you expect to help take care of you? Family? Friends? Paid aides? All of the above?","The New York Times","2021-08-13T00:06:05+0000","article","Editorial","Opinion",NA,"Op-Ed","nyt://article/18e9c485-4e2c-5a03-97ab-7e52ec0c80ad",990,"nyt://article/18e9c485-4e2c-5a03-97ab-7e52ec0c80ad","A","18","Who Will Take Care of America’s Caregivers?","michelle cottle",NA,"Who Will Care for Our Caregivers?",NA,NA,NA,"By Michelle Cottle",NA,266,0,29
"5","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Early studies reveal the toll that lockdowns, isolation and stress have taken on those who care for older Americans.","https://www.nytimes.com/2021/05/21/health/coronavirus-home-caregivers-elderly.html","Early studies reveal the toll that lockdowns, isolation and stress have taken on those who care for older Americans.","Mary Ann Boor could see her husband’s Alzheimer’s disease progressing, and her responsibilities as his caregiver intensifying.","The New York Times","2021-05-21T09:00:29+0000","article","Science","Health",NA,"News","nyt://article/c2b0b8ae-c0c2-5c31-ad6e-e303614ff137",1294,"nyt://article/c2b0b8ae-c0c2-5c31-ad6e-e303614ff137","D","7","Family Caregivers Feel the Pandemic’s Weight","The New Old Age",NA,"Family Caregivers  Feel the Weight",NA,NA,NA,"By Paula Span",NA,266,0,29
"6","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The stress of caring for loved ones with Alzheimer’s and other terminal illnesses can have long-lasting consequences. Reaching out for support is critical.","https://www.nytimes.com/2016/09/03/your-money/caregivers-alzheimers-burnout.html","The stress of caring for loved ones with Alzheimer’s and other terminal illnesses can have long-lasting consequences. Reaching out for support is critical.","AFTER Mark Donham’s wife, Chris, fell under the spell of early-onset Alzheimer’s, he doubled down on his marriage vows. He quit his job as a well-paid sales representative in the printing industry and became his wife’s 24-hour caregiver: dressing her, doing laundry and scheduling social visits with friends. Faith, hope and courage became his new mantra.","The New York Times","2016-09-02T17:24:41+0000","article","Business","Your Money",NA,"News","nyt://article/0bb3e002-b3a7-5897-9827-91f5f81b864f",1171,"nyt://article/0bb3e002-b3a7-5897-9827-91f5f81b864f","B","4","Love and Burnout: Caregivers, Too, Need Care","Retiring",NA,"After Emotional and Financial Drain, Caregivers, Too, Need Care",NA,NA,NA,"By Constance Gustke",NA,266,0,29
"7","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","A recent report suggests that society’s reliance on a volunteer army of family helpers — largely taken for granted — is unsustainable.","https://www.nytimes.com/2017/01/19/upshot/who-will-care-for-the-caregivers.html","A recent report suggests that society’s reliance on a volunteer army of family helpers — largely taken for granted — is unsustainable.","I should have put his socks back on.","The New York Times","2017-01-19T12:00:25+0000","article","Upshot","The Upshot",NA,"News","nyt://article/580e5e79-b306-56ed-a9ea-55c5ad99897d",1219,"nyt://article/580e5e79-b306-56ed-a9ea-55c5ad99897d","A","3","Who Will Care for the Caregivers?","Short-Handed",NA,"Ways to Lighten the Toll of Taking Care of Ailing Relatives",NA,NA,NA,"By Dhruv Khullar",NA,266,0,29
"8","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Health care in the U.S. relies on an “invisible army” of caregivers — mostly women. For many, stunted careers, lost earnings and exhaustion are part of the fallout.","https://www.nytimes.com/2021/03/16/us/caregiving-burnout.html","Health care in the U.S. relies on an “invisible army” of caregivers — mostly women. For many, stunted careers, lost earnings and exhaustion are part of the fallout.","— Kate Washington, the author of “Already Toast: Caregiving and Burnout in America”","The New York Times","2021-03-16T23:58:23+0000","article","Gender","U.S.",NA,"News","nyt://article/49a3bc68-29c7-5b27-95a0-0d9e3805117a",1646,"nyt://article/49a3bc68-29c7-5b27-95a0-0d9e3805117a",NA,NA,"The Costly, Painful, Lonely Burden of Care","in her words",NA,NA,NA,NA,NA,"By Mara Altman",NA,266,0,29
"9","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","A new council of nearly 200 executives from both Fortune 500 companies and small start-ups are pushing for fixes to the crumbling caregiving sector, saying it is ultimately part of their bottom line.","https://www.nytimes.com/2021/05/21/us/private-sector-child-care-reform-business-women.html","A new council of nearly 200 executives from both Fortune 500 companies and small start-ups are pushing for fixes to the crumbling caregiving sector, saying it is ultimately part of their bottom line.","— Care Economy Business Council","The New York Times","2021-05-21T15:08:20+0000","article","Foreign","U.S.",NA,"News","nyt://article/005bbc4e-51ee-5f02-ad50-0182e2c716aa",965,"nyt://article/005bbc4e-51ee-5f02-ad50-0182e2c716aa",NA,NA,"The Newest Champions of Caregiver Reform? The Private Sector.","in her words",NA,NA,NA,NA,NA,"By Alisha Haridasani Gupta",NA,266,0,29
"10","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","President Trump spoke at his first coronavirus task force briefing since April, a concession to his diminished standing in his re-election effort. New filings revealed his campaign paid $4 million to Trump businesses and spent more than $2 million on his Tulsa rally, which drew few attendees.","https://www.nytimes.com/2020/07/21/us/elections/biden-vs-trump.html","President Trump spoke at his first coronavirus task force briefing since April, a concession to his diminished standing in his re-election effort. New filings revealed his campaign paid $4 million to Trump businesses and spent more than $2 million...","[Follow the DNC Live: Biden’s speech, schedule, start time, streaming and more.]","The New York Times","2020-07-21T12:05:34+0000","article","Politics","U.S.","Elections","News","nyt://article/09eece06-8516-5519-83db-363739c02ba8",4814,"nyt://article/09eece06-8516-5519-83db-363739c02ba8",NA,NA,"Biden Announces a $775 Billion Plan for Caregivers Amid Coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,266,0,29
