"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub"
"Some 41 countries across the globe guarantee their workers paid family leave to tend to children or elders. The United States doesn’t. That may be changing.","Some 41 countries across the globe guarantee their workers paid family leave to tend to children or elders. The United States doesn’t. That may be changing.","First of three articles.","The New York Times","2019-09-04T16:06:19+0000","article","Opinion","Op-Ed","nyt://article/c1095518-7069-5cea-8253-e912fec61310",NA,"Does America Care About Care? Not Enough","Fixes",NA,NA,NA,NA,NA
"Kids are expensive. Here’s how we’re managing.","Kids are expensive. Here’s how we’re managing.","I often say raising a child in the United States is like taking all your money, setting it on fire and flushing it down the toilet. A middle-income American family will spend an average of $12,980 annually per child, according to the most recently collected data. Among parents paying for child care for the under-6 crowd, expenses may be significantly higher. The average cost of full-time, center-based care for an infant varies by state, but it can be more than $15,000 a year.","The New York Times","2020-02-12T13:58:52+0000","article","Parenting","News","nyt://article/8c2504b3-0229-5643-b0aa-ffba99d43aaf",NA,"The Price of Modern Parenting",NA,NA,NA,NA,NA,NA
"Portraits of a family adapting to their new reality.","Portraits of a family adapting to their new reality.","When it came to child care, Young Choi and his wife, Samantha DuFlo, had fallen into a predictable routine.","The New York Times","2020-06-19T19:44:42+0000","article","Parenting","News","nyt://article/8e356bf0-0567-540a-818b-18cc92780ca4",NA,"When Day Care Closed, a Father Rediscovered His Daughter",NA,NA,NA,NA,NA,NA
"Years struggling to balance parenting duties with my sick parents’ needs left me financially adrift.","Years struggling to balance parenting duties with my sick parents’ needs left me financially adrift.","This piece is part of “The Price of Modern Parenting.” Read more about the sandwich generation, the cost of adoption and out-of-pocket expenses for preterm births. ","The New York Times","2020-02-11T20:27:39+0000","article","Parenting","News","nyt://article/65ad8506-8902-5672-9ff4-276525120e07",NA,"Caring for Two Generations Almost Cost Me My Career",NA,NA,NA,NA,NA,NA
"Jennifer Gilmore says her new novel was motivated in part by her observations of how motherhood is discussed in our culture.","Jennifer Gilmore says her new novel was motivated in part by her observations of how motherhood is discussed in our culture.","This week, Jennifer Gilmore reviews “The Revised Fundamentals of Caregiving,” a novel by Jonathan Evison, in which a former stay-at-home dad who lost his children in a grisly accident becomes a caregiver for hire. “Caretaking is often stereotyped as women’s work,” Gilmore wrote in an e-mail, but in Evison’s book, “caring deeply, dealing with grief, transcends gender.”","The New York Times","2012-09-07T16:16:02+0000","article","Books","News","nyt://article/2bcee657-7151-57a5-83a9-eaaf684b92f3","Book Review","Up Front",NA,NA,"Up Front",NA,NA,NA
"In the case of Ebola, caretaking is a job of the highest risk, and doctors and nurses are innately terrible at even the basics of infection control.","In the case of Ebola, caretaking is a job of the highest risk, and doctors and nurses are innately terrible at even the basics of infection control.","Most infectious diseases reinforce that appealing “them and us” schism that so often deludes health care professionals. They, our patients, have it, their contacts out in the world are at risk for getting it, and we, their caregivers, are safely removed from the whole thing. Not Ebola: We have met the patients, and they are us.","The New York Times","2014-11-03T22:20:24+0000","article","Health","News","nyt://article/d845e6b3-26bb-5744-a328-f2f9dc778552",NA,"Treating Disease, and Spreading It?","Well",NA,"The Capacity to Treat, and to Spread",NA,NA,NA
"A study of Australian fish that care for offspring through mouthbrooding shows that things underwater are not always as monogamous as they seem.","A study of Australian fish that care for offspring through mouthbrooding shows that things underwater are not always as monogamous as they seem.","Lurking among the underwater plants in Australia’s ponds and streams is a fish called the mouth almighty. The species is named for its impressive jaws, which snap up passing prey. But the males also use their almighty mouths to gently carry as many as hundreds of babies.","The New York Times","2022-05-03T23:37:00+0000","article","Science","News","nyt://article/bbee0a8b-a52f-5eb5-8582-4ce3058fd161",NA,"Meet Mouth Almighty, a Different Kind of Fish Dad","Trilobites",NA,"Stork of the Sea: This Fish Dad Carries A Whole Mouthful of Babies",NA,NA,NA
"New legislation advances the cause of advocacy groups by having the word “retardation” dropped from the name of the state’s caretaking agency for people with developmental disabilities.","New legislation advances the cause of advocacy groups by having the word “retardation” dropped from the name of the state’s caretaking agency for people with developmental disabilities.","ALBANY  For the second time in a year, New York legislators are considering changing the name of one of the only state agencies in the country with “retardation” still in its title. ","The New York Times","2010-06-08T00:45:25+0000","article","New York","News","nyt://article/4b21b954-6b89-5bee-abef-f4718b2c49ba",NA,"Name Change at Agency to Remove ‘Retardation’",NA,NA,"Name Change at Agency To Remove ‘Retardation’",NA,NA,NA
"Try to establish a routine. Sometimes it helps to give yourself a prompt.","Try to establish a routine. Sometimes it helps to give yourself a prompt.","“Reflective journaling can be a cost-​effective way to give yourself therapy,” says Melanie H. Morris, 61, an assistant professor of nursing at Vanderbilt University in Nashville. You don’t need to be an accomplished writer with perfect penmanship and spelling; the words are for you. Try to establish a routine in which you write for 15 minutes several times a week, even if you get just one or two sentences down in a session. Put writing in your calendar as you would other things you schedule. Morris is always urging her students to journal, a practice she calls “CPR for the soul.”","The New York Times","2021-11-02T09:00:05+0000","article","Magazine","News","nyt://article/2140f57f-a29d-5217-8d76-606989c31301",NA,"How to Keep a Journal","Tip",NA,"How to Keep a Journal",NA,NA,NA
"After our mom died, I turned to her beloved pastime for comfort. It opened up a new way to communicate with my family.","After our mom died, I turned to her beloved pastime for comfort. It opened up a new way to communicate with my family.","When I tell people my sister is 14 months older than me, some marvel at how close we must be. Others joke that my parents got busy fast. The joke is true, but my sister and I have never been close. We couldn’t be more different. I’m louder, taller and blunter. She’s quieter, shorter and sweeter. When we were young, I barreled through Michigan forests on my bike while she buried her head in Nancy Drew books. Because my sister was more obedient and a better student than I was, I perceived that she was the favored child. ","The New York Times","2021-03-16T09:00:06+0000","article","Magazine","News","nyt://article/55f56c5b-d49b-5dc5-b010-83a6e070e99f",NA,"How Chinese Dramas Helped Me Build a Relationship With My Sister","Letter of Recommendation",NA,"Chinese Dramas",NA,NA,NA
