"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","slideshow_credits"
"Nearly all Americans over 65 got their initial Covid vaccines. But that immunity is waning, and this time, the government is offering far less support for new shots.","Nearly all Americans over 65 got their initial Covid vaccines. But that immunity is waning, and this time, the government is offering far less support for new shots.","PLEASANT HILL, Calif. — Bonnie Ronk is something of a public health matriarch at the Mt. Diablo Center for seniors in this liberal Northern California suburb.","The New York Times","2022-12-21T08:00:13+0000","article","Health","News","nyt://article/7494aa22-324f-5530-98fa-4ee327dfd76d",NA,"As Covid Deaths Climb, Even Seniors Skip the Latest Booster",NA,NA,"Older Americans Forgo Boosters Even as Deaths From Covid Rise",NA,NA,NA,NA
"Shatzi Weisberger spent years urging others to approach the process of dying with joy and wonder. Then she got cancer.","Shatzi Weisberger spent years urging others to approach the process of dying with joy and wonder. Then she got cancer.","Many people hope for a good death, even plan for it, but few prepare for it as thoroughly and cheerfully as Shatzi Weisberger. She had a certificate in the Art of Dying from the Open Center in New York, and she helped run a monthly discussion group on the subject in Brooklyn, and another one in her small Upper West Side apartment.","The New York Times","2022-12-09T10:00:31+0000","article","New York","News","nyt://article/d417329d-2a86-5eac-81aa-919d3b187e8b",NA,"She Preached Death Without Fear. Could She Practice It?",NA,NA,"Facing the End, and Well Prepared for It",NA,NA,NA,NA
"Nearly one million Americans have no immediate family members to provide assistance if needed. The number is expected to grow.","Nearly one million Americans have no immediate family members to provide assistance if needed. The number is expected to grow.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.","The New York Times","2022-12-03T14:48:45+0000","article","Health","News","nyt://article/19f2d63b-898b-55b6-95b3-5cdfd07c5fad",NA,"Who Will Care for ‘Kinless’ Seniors?","the new old age",NA,"Who Will Care for the Kinless Seniors?",NA,NA,NA,NA
"As inflation rises, assisted living and home health aides are becoming more expensive. We want to hear from people who are dealing with this type of financial stress.","As inflation rises, assisted living and home health aides are becoming more expensive. We want to hear from people who are dealing with this type of financial stress.","Many older Americans in need of long-term care are struggling to afford assisted living facilities, home health aides or nursing homes. Inflation is making these services even more expensive than before. Reporters from The New York Times and Kaiser Health News want to hear from people who are under financial strain because of long-term care.","The New York Times","2022-12-02T17:27:26+0000","article","Health","News","nyt://article/90df7efc-403f-5bbc-b45e-d49fe8518330",NA,"How Has the Rising Cost of Long-Term Health Care Affected You?",NA,NA,NA,NA,NA,NA,NA
"But the Manhattan facility, Amsterdam Nursing Home, was far from the only home flagged in New York City for failing to take steps to prevent the spread of the airborne infection.","But the Manhattan facility, Amsterdam Nursing Home, was far from the only home flagged in New York City for failing to take steps to prevent the spread of the airborne infection.","Health officials have determined that five people who died at an Upper Manhattan nursing home this summer were felled by Legionnaires’ disease, representing the deadliest outbreak of the airborne infection in New York City in seven years.","The New York Times","2022-11-12T10:00:08+0000","article","New York","News","nyt://article/9be3b176-4866-5c10-9913-31e18df3e334",NA,"Nursing Home Cited 7 Times by Inspectors Before Legionnaires’ Outbreak",NA,NA,"Manhattan Nursing Home Cited 7 Times Before Legionnaires’ Outbreak",NA,NA,NA,NA
"She made news by entering a pro basketball inner sanctum to do her job. Years later, her mother’s physical decline led her to write about aging for The Times and in a book.","She made news by entering a pro basketball inner sanctum to do her job. Years later, her mother’s physical decline led her to write about aging for The Times and in a book.","Jane Gross, who in 1975 became the first female sportswriter known to have entered a professional basketball locker room, and who later distinguished herself at The New York Times with her compassionate reporting on aging and a well-received book about her mother’s decline in a nursing home, died on Wednesday in the Bronx. She was 75.","The New York Times","2022-11-11T00:27:28+0000","article","Sports","Obituary (Obit)","nyt://article/52915177-ecad-520c-9975-b66ee7f4f39c","Pro Basketball","Jane Gross, Sportswriter Who Opened Locker Room Doors, Dies at 75",NA,NA,"Jane Gross, 75, Trailblazing Reporter Who Opened Locker Room Doors",NA,NA,NA,NA
"Caring for kids and parents simultaneously can carry an emotional and financial toll.","Caring for kids and parents simultaneously can carry an emotional and financial toll.","In early 2020, I wrote about the struggles of the “sandwich generation,” demographers’ label for those who are caring for children and aging relatives at the same time. The sandwich generation parents I spoke to in that prepandemic moment talked about the emotional and financial toll of that level of caregiving responsibility. Some had to leave full-time employment or change jobs because caring for a parent with failing health and children with their own abundant needs took too much time and required too much flexibility.","The New York Times","2022-11-02T13:20:14+0000","article","Opinion","Op-Ed","nyt://article/dd8a4dc6-c863-55ca-a2c2-ed77dcd71f2c",NA,"The Sandwich Generation Is Getting Squished","Jessica Grose",NA,"The Sandwich Generation Is Getting Squished",NA,NA,NA,NA
"Americans over 65 remain the demographic most likely to have received the original series of vaccinations. But fewer are getting the follow-up shots, surveys indicate.","Americans over 65 remain the demographic most likely to have received the original series of vaccinations. But fewer are getting the follow-up shots, surveys indicate.","Linda Brantman, a retired membership salesperson at a health club in Chicago, was paying attention last month when the Centers for Disease Control and Prevention recommended the new bivalent booster that protects against two variants of Covid-19. She went online and reserved an appointment at a Walgreens near her home.","The New York Times","2022-10-22T09:00:30+0000","article","Health","News","nyt://article/1391ea6e-3fee-5317-9741-b9d99f103260",NA,"Among Seniors, a Declining Interest in Boosters",NA,NA,"A Decline in Interest Regarding Boosters",NA,NA,NA,NA
"The magazine’s Ethicist columnist on not helping family members who make it difficult to help.","The magazine’s Ethicist columnist on not helping family members who make it difficult to help.","My mother has an undiagnosed mental illness that makes her incapable of accepting reality and that has caused her to be emotionally abusive my entire life. My sister and I have maintained a relationship with her, but with strict boundaries and limited visits. ","The New York Times","2022-10-04T09:00:08+0000","article","Magazine","News","nyt://article/8e56e178-be4f-5419-ad86-e7215fa392c3",NA,"Am I Obligated to Look After My Insufferable Mother?","The Ethicist",NA,"Am I Obligated to Look After My Insufferable Mother?",NA,NA,NA,NA
"In the blizzard of paperwork needed to get into a nursing home or assisted living, some residents unwittingly surrender the right to a day in court.","In the blizzard of paperwork needed to get into a nursing home or assisted living, some residents unwittingly surrender the right to a day in court.","What the Jinks family wanted was to sue the memory care facility where their father, Charles, was attacked by another resident.","The New York Times","2022-09-24T09:00:19+0000","article","Health","News","nyt://article/0567dc21-4463-5790-b16d-4b9982998228",NA,"Arbitration Has Come to Senior Living. You Don’t Have to Sign Up.","the new old age",NA,"Arbitration Common In Long-Term Care",NA,NA,NA,NA
